"species","cultivar","location","flowering_f50","year","yday","split","ncal"
"Apricot","Harcot","Zaragoza","3/11/2006",2006,70,"Validation","full"
"Apricot","Harcot","Zaragoza","3/17/2010",2010,76,"Validation","full"
"Apricot","Harcot","Zaragoza","3/13/2015",2015,72,"Validation","full"
"Apricot","Harcot","Zaragoza","3/4/2019",2019,63,"Validation","full"
"Apricot","Harcot","Zaragoza","2/24/2021",2021,55,"Validation","full"
"Apricot","Harcot","Zaragoza","3/9/1999",1999,68,"Validation","scarce"
"Apricot","Harcot","Zaragoza","2/29/2000",2000,60,"Validation","scarce"
"Apricot","Harcot","Zaragoza","2/28/2002",2002,59,"Validation","scarce"
"Apricot","Harcot","Zaragoza","3/19/2004",2004,79,"Validation","scarce"
"Apricot","Harcot","Zaragoza","3/18/2005",2005,77,"Validation","scarce"
"Apricot","Harcot","Zaragoza","3/11/2006",2006,70,"Validation","scarce"
"Apricot","Harcot","Zaragoza","3/17/2010",2010,76,"Validation","scarce"
"Apricot","Harcot","Zaragoza","3/14/2012",2012,74,"Validation","scarce"
"Apricot","Harcot","Zaragoza","3/13/2015",2015,72,"Validation","scarce"
"Apricot","Harcot","Zaragoza","2/27/2017",2017,58,"Validation","scarce"
"Apricot","Harcot","Zaragoza","3/4/2019",2019,63,"Validation","scarce"
"Apricot","Harcot","Zaragoza","2/24/2021",2021,55,"Validation","scarce"
"Apricot","Goldrich","Zaragoza","3/13/2004",2004,73,"Calibration","full"
"Apricot","Goldrich","Zaragoza","3/8/2018",2018,67,"Calibration","full"
"Apricot","Goldrich","Zaragoza","3/9/2012",2012,69,"Calibration","full"
"Apricot","Goldrich","Zaragoza","3/8/2006",2006,67,"Calibration","full"
"Apricot","Goldrich","Zaragoza","3/12/2015",2015,71,"Calibration","full"
"Apricot","Goldrich","Zaragoza","2/25/2014",2014,56,"Calibration","full"
"Apricot","Goldrich","Zaragoza","3/7/2001",2001,66,"Calibration","full"
"Apricot","Goldrich","Zaragoza","2/24/2016",2016,55,"Calibration","full"
"Apricot","Goldrich","Zaragoza","2/27/2002",2002,58,"Calibration","full"
"Apricot","Goldrich","Zaragoza","3/18/2005",2005,77,"Calibration","full"
"Apricot","Goldrich","Zaragoza","3/3/1999",1999,62,"Calibration","full"
"Apricot","Goldrich","Zaragoza","3/10/2013",2013,69,"Calibration","full"
"Apricot","Goldrich","Zaragoza","3/8/2003",2003,67,"Calibration","full"
"Apricot","Goldrich","Zaragoza","2/20/2021",2021,51,"Calibration","full"
"Apricot","Goldrich","Zaragoza","2/24/2017",2017,55,"Calibration","full"
"Apricot","Goldrich","Zaragoza","3/13/2004",2004,73,"Calibration","scarce"
"Apricot","Goldrich","Zaragoza","2/25/2014",2014,56,"Calibration","scarce"
"Apricot","Goldrich","Zaragoza","3/10/2013",2013,69,"Calibration","scarce"
"Apricot","Goldrich","Zaragoza","2/24/2017",2017,55,"Calibration","scarce"
"Apricot","Goldrich","Zaragoza","2/27/2002",2002,58,"Calibration","scarce"
