"species","cultivar","location","flowering_f50","year","yday","split","ncal"
"Sweet Cherry","Sam","Zaragoza","3/27/2019",2019,86,"Calibration","scarce"
"Sweet Cherry","Sam","Zaragoza","4/13/1996",1996,104,"Calibration","scarce"
"Sweet Cherry","Sam","Zaragoza","4/8/2015",2015,98,"Calibration","scarce"
"Sweet Cherry","Sam","Zaragoza","4/10/1991",1991,100,"Validation","full"
"Sweet Cherry","Sam","Zaragoza","4/10/1993",1993,100,"Validation","full"
"Sweet Cherry","Sam","Zaragoza","3/25/1994",1994,84,"Validation","full"
"Sweet Cherry","Sam","Zaragoza","4/7/1995",1995,97,"Validation","full"
"Sweet Cherry","Sam","Zaragoza","4/7/2014",2014,97,"Validation","full"
"Sweet Cherry","Sam","Zaragoza","3/27/2021",2021,86,"Validation","full"
"Sweet Cherry","Sam","Zaragoza","4/10/1991",1991,100,"Validation","scarce"
"Sweet Cherry","Sam","Zaragoza","4/8/1992",1992,99,"Validation","scarce"
"Sweet Cherry","Sam","Zaragoza","4/10/1993",1993,100,"Validation","scarce"
"Sweet Cherry","Sam","Zaragoza","3/25/1994",1994,84,"Validation","scarce"
"Sweet Cherry","Sam","Zaragoza","4/7/1995",1995,97,"Validation","scarce"
"Sweet Cherry","Sam","Zaragoza","3/26/1997",1997,85,"Validation","scarce"
"Sweet Cherry","Sam","Zaragoza","3/24/2000",2000,84,"Validation","scarce"
"Sweet Cherry","Sam","Zaragoza","4/2/2001",2001,92,"Validation","scarce"
"Sweet Cherry","Sam","Zaragoza","4/10/2010",2010,100,"Validation","scarce"
"Sweet Cherry","Sam","Zaragoza","4/4/2012",2012,95,"Validation","scarce"
"Sweet Cherry","Sam","Zaragoza","4/11/2013",2013,101,"Validation","scarce"
"Sweet Cherry","Sam","Zaragoza","4/7/2014",2014,97,"Validation","scarce"
"Sweet Cherry","Sam","Zaragoza","3/27/2021",2021,86,"Validation","scarce"
"Sweet Cherry","Sam","Zaragoza","3/31/2022",2022,90,"Validation","scarce"
"Sweet Cherry","Van","Zaragoza","4/4/2016",2016,95,"Calibration","full"
"Sweet Cherry","Van","Zaragoza","3/31/1991",1991,90,"Calibration","full"
"Sweet Cherry","Van","Zaragoza","4/9/1996",1996,100,"Calibration","full"
"Sweet Cherry","Van","Zaragoza","3/26/2009",2009,85,"Calibration","full"
"Sweet Cherry","Van","Zaragoza","3/29/2021",2021,88,"Calibration","full"
"Sweet Cherry","Van","Zaragoza","4/1/1999",1999,91,"Calibration","full"
"Sweet Cherry","Van","Zaragoza","4/5/2010",2010,95,"Calibration","full"
"Sweet Cherry","Van","Zaragoza","4/6/2013",2013,96,"Calibration","full"
"Sweet Cherry","Van","Zaragoza","4/1/1995",1995,91,"Calibration","full"
"Sweet Cherry","Van","Zaragoza","3/25/2001",2001,84,"Calibration","full"
"Sweet Cherry","Van","Zaragoza","4/2/2012",2012,93,"Calibration","full"
"Sweet Cherry","Van","Zaragoza","3/23/2019",2019,82,"Calibration","full"
"Sweet Cherry","Van","Zaragoza","3/17/2000",2000,77,"Calibration","full"
"Sweet Cherry","Van","Zaragoza","3/28/2022",2022,87,"Calibration","full"
"Sweet Cherry","Van","Zaragoza","4/4/2015",2015,94,"Calibration","full"
"Sweet Cherry","Van","Zaragoza","3/31/2014",2014,90,"Calibration","full"
"Sweet Cherry","Van","Zaragoza","4/10/1993",1993,100,"Calibration","full"
