"species","cultivar","location","flowering_f50","year","yday","split","ncal"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/25/1989",1989,115,"Validation","scarce"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/22/1994",1994,112,"Validation","scarce"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/19/1998",1998,109,"Validation","scarce"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/23/1999",1999,113,"Validation","scarce"
"Sweet Cherry","Schneiders","Klein-Altendorf","5/3/2001",2001,123,"Validation","scarce"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/19/2002",2002,109,"Validation","scarce"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/18/2003",2003,108,"Validation","scarce"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/21/2004",2004,112,"Validation","scarce"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/18/2005",2005,108,"Validation","scarce"
"Sweet Cherry","Schneiders","Klein-Altendorf","5/2/2006",2006,122,"Validation","scarce"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/27/2008",2008,118,"Validation","scarce"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/16/2009",2009,106,"Validation","scarce"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/21/2010",2010,111,"Validation","scarce"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/8/2014",2014,98,"Validation","scarce"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/20/2015",2015,110,"Validation","scarce"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/28/2016",2016,119,"Validation","scarce"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/12/2017",2017,102,"Validation","scarce"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/18/2018",2018,108,"Validation","scarce"
"Sweet Cherry","Schneiders","Klein-Altendorf","4/13/2019",2019,103,"Validation","scarce"
