"predicted","species","cultivar","ncal","split","location","year","fit","observed"
78.04,"Almond","Ferragnes","scarce","Validation","Meknes",2003,"single",61
54.25,"Almond","Ferragnes","scarce","Validation","Meknes",2004,"single",62
78.79,"Almond","Ferragnes","scarce","Validation","Meknes",2005,"single",60
78.42,"Almond","Ferragnes","scarce","Validation","Meknes",2006,"single",63
66.33,"Almond","Ferragnes","scarce","Validation","Meknes",2007,"single",69
61.33,"Almond","Ferragnes","scarce","Validation","Meknes",2009,"single",55
66.5,"Almond","Ferragnes","scarce","Validation","Meknes",2010,"single",64
74.42,"Almond","Ferragnes","scarce","Validation","Meknes",2012,"single",72
64.04,"Almond","Ferragnes","scarce","Validation","Meknes",2013,"single",62
67.46,"Almond","Ferragnes","scarce","Validation","Meknes",2014,"single",61
41.96,"Almond","Marcona","scarce","Calibration","Meknes",1978,"single",41
44.54,"Almond","Marcona","scarce","Calibration","Meknes",1992,"single",46
57.08,"Almond","Marcona","scarce","Calibration","Meknes",1998,"single",59
53.54,"Almond","Marcona","scarce","Calibration","Meknes",1988,"single",46
48.08,"Almond","Marcona","scarce","Calibration","Meknes",2008,"single",43
53.42,"Almond","Marcona","scarce","Calibration","Meknes",1985,"single",53
46.54,"Almond","Marcona","scarce","Calibration","Meknes",2011,"single",46
56.04,"Almond","Marcona","scarce","Calibration","Meknes",1986,"single",60
40.08,"Almond","Marcona","scarce","Calibration","Meknes",2002,"single",41
50.92,"Almond","Marcona","scarce","Calibration","Meknes",1997,"single",56
35.5,"Almond","Marcona","scarce","Validation","Meknes",1977,"single",41
56.12,"Almond","Marcona","scarce","Validation","Meknes",1979,"single",43
59.25,"Almond","Marcona","scarce","Validation","Meknes",1980,"single",45
59.75,"Almond","Marcona","scarce","Validation","Meknes",1981,"single",48
65.58,"Almond","Marcona","scarce","Validation","Meknes",1982,"single",49
57.25,"Almond","Marcona","scarce","Validation","Meknes",1983,"single",50
76.17,"Almond","Marcona","scarce","Validation","Meknes",1984,"single",64
56.12,"Almond","Marcona","scarce","Validation","Meknes",1987,"single",56
64.17,"Almond","Marcona","scarce","Validation","Meknes",1989,"single",53
66.08,"Almond","Marcona","scarce","Validation","Meknes",1990,"single",51
66.17,"Almond","Marcona","scarce","Validation","Meknes",1991,"single",51
53.08,"Almond","Marcona","scarce","Validation","Meknes",1993,"single",63
46.96,"Almond","Marcona","scarce","Validation","Meknes",1994,"single",60
66.17,"Almond","Marcona","scarce","Validation","Meknes",1995,"single",61
68.08,"Almond","Marcona","scarce","Validation","Meknes",1996,"single",62
68.83,"Almond","Marcona","scarce","Validation","Meknes",1999,"single",64
56.58,"Almond","Marcona","scarce","Validation","Meknes",2000,"single",38
35.17,"Almond","Marcona","scarce","Validation","Meknes",2001,"single",36
61.25,"Almond","Marcona","scarce","Validation","Meknes",2003,"single",43
44.38,"Almond","Marcona","scarce","Validation","Meknes",2004,"single",46
73.42,"Almond","Marcona","scarce","Validation","Meknes",2005,"single",44
69.12,"Almond","Marcona","scarce","Validation","Meknes",2006,"single",46
62.71,"Almond","Marcona","scarce","Validation","Meknes",2007,"single",56
51.25,"Almond","Marcona","scarce","Validation","Meknes",2009,"single",41
59.38,"Almond","Marcona","scarce","Validation","Meknes",2010,"single",48
69.04,"Almond","Marcona","scarce","Validation","Meknes",2012,"single",51
52.71,"Almond","Marcona","scarce","Validation","Meknes",2013,"single",45
54.5,"Almond","Marcona","scarce","Validation","Meknes",2014,"single",47
40.21,"Almond","Marta","scarce","Calibration","Santomera",2008,"single",40
56.25,"Almond","Marta","scarce","Calibration","Santomera",2006,"single",56
49.33,"Almond","Marta","scarce","Calibration","Santomera",2011,"single",50
47.17,"Almond","Marta","scarce","Calibration","Santomera",2018,"single",51
57.92,"Almond","Marta","scarce","Calibration","Santomera",2010,"single",58
52,"Almond","Marta","scarce","Calibration","Santomera",2019,"single",56
44.42,"Almond","Marta","scarce","Calibration","Santomera",2021,"single",41
53.17,"Almond","Marta","scarce","Calibration","Santomera",2007,"single",48
57.29,"Almond","Marta","scarce","Calibration","Santomera",2005,"single",57
60.96,"Almond","Marta","scarce","Calibration","Santomera",2012,"single",62
43,"Almond","Marta","scarce","Validation","Santomera",2009,"single",43
32.71,"Almond","Marta","scarce","Validation","Santomera",2013,"single",40
57.92,"Almond","Marta","scarce","Validation","Santomera",2015,"single",58
37.12,"Almond","Marta","scarce","Validation","Santomera",2020,"single",41
76.79,"Almond","Mazzetto","scarce","Calibration","Sfax",2013,"single",80
67.21,"Almond","Mazzetto","scarce","Calibration","Sfax",1982,"single",67
72.21,"Almond","Mazzetto","scarce","Calibration","Sfax",1993,"single",75
76.71,"Almond","Mazzetto","scarce","Calibration","Sfax",2005,"single",78
58.04,"Almond","Mazzetto","scarce","Calibration","Sfax",1999,"single",60
70,"Almond","Mazzetto","scarce","Calibration","Sfax",2001,"single",66
60.04,"Almond","Mazzetto","scarce","Calibration","Sfax",2002,"single",61
59.58,"Almond","Mazzetto","scarce","Calibration","Sfax",1992,"single",57
68.42,"Almond","Mazzetto","scarce","Calibration","Sfax",2015,"single",63
63,"Almond","Mazzetto","scarce","Calibration","Sfax",2006,"single",65
59.96,"Almond","Mazzetto","scarce","Validation","Sfax",1981,"single",68
59.79,"Almond","Mazzetto","scarce","Validation","Sfax",1986,"single",63
57.17,"Almond","Mazzetto","scarce","Validation","Sfax",1987,"single",57
58.04,"Almond","Mazzetto","scarce","Validation","Sfax",1991,"single",64
64.25,"Almond","Mazzetto","scarce","Validation","Sfax",1995,"single",60
78.33,"Almond","Mazzetto","scarce","Validation","Sfax",1996,"single",73
67.08,"Almond","Mazzetto","scarce","Validation","Sfax",1998,"single",70
73.04,"Almond","Mazzetto","scarce","Validation","Sfax",2003,"single",77
67.33,"Almond","Mazzetto","scarce","Validation","Sfax",2004,"single",62
70.96,"Almond","Mazzetto","scarce","Validation","Sfax",2008,"single",61
76.92,"Almond","Mazzetto","scarce","Validation","Sfax",2012,"single",78
53.21,"Almond","Mazzetto","scarce","Validation","Sfax",2014,"single",57
68.96,"Almond","Nonpareil","scarce","Calibration","Sfax",2013,"single",76
66.17,"Almond","Nonpareil","scarce","Calibration","Sfax",1982,"single",65
71.88,"Almond","Nonpareil","scarce","Calibration","Sfax",1993,"single",73
77.17,"Almond","Nonpareil","scarce","Calibration","Sfax",2005,"single",78
57,"Almond","Nonpareil","scarce","Calibration","Sfax",1999,"single",57
63.54,"Almond","Nonpareil","scarce","Calibration","Sfax",2001,"single",62
60.33,"Almond","Nonpareil","scarce","Calibration","Sfax",2002,"single",60
61.88,"Almond","Nonpareil","scarce","Calibration","Sfax",1992,"single",62
48.67,"Almond","Nonpareil","scarce","Calibration","Sfax",2014,"single",43
60.08,"Almond","Nonpareil","scarce","Calibration","Sfax",2008,"single",59
67.04,"Almond","Nonpareil","scarce","Validation","Sfax",1981,"single",64
58.04,"Almond","Nonpareil","scarce","Validation","Sfax",1986,"single",56
59.33,"Almond","Nonpareil","scarce","Validation","Sfax",1987,"single",52
