species,cultivar,location,climatic_classification,climatic_data,year,dormancy_break_field,breaking_dormancy_40_baggiolini,begin_flowering_f5,flowering_f50,flowering_f90,end_flowering,ripening,bud_drop,flower_anomaly,spring_frost_damage,productivity,fruit_quality,rootstock,plantation_framework,training_system,irrigation_system,source,comment,country
Apricot,Henderson,Zaragoza,Arid Cold steppe ,Yes,2002,NA,NA,NA,3/2/2002,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Henderson,Zaragoza,Arid Cold steppe ,Yes,2003,NA,NA,NA,3/19/2003,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Henderson,Zaragoza,Arid Cold steppe ,Yes,2004,NA,NA,NA,3/23/2004,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Henderson,Zaragoza,Arid Cold steppe ,Yes,2005,NA,NA,NA,3/21/2005,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Henderson,Zaragoza,Arid Cold steppe ,Yes,2006,NA,NA,NA,3/14/2006,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Henderson,Zaragoza,Arid Cold steppe ,Yes,2009,NA,NA,NA,3/11/2009,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Henderson,Zaragoza,Arid Cold steppe ,Yes,2010,NA,NA,NA,3/25/2010,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Henderson,Zaragoza,Arid Cold steppe ,Yes,2011,NA,NA,NA,3/11/2011,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Henderson,Zaragoza,Arid Cold steppe ,Yes,2012,NA,NA,NA,3/16/2012,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
Apricot,Henderson,Zaragoza,Arid Cold steppe ,Yes,2013,NA,NA,NA,3/23/2013,NA,NA,NA,NA,,NA,NA,NA,seedling,3x5,Spanish bush,Drip irrigation,Own data,,Spain
