"species","cultivar","location","year","flowering_f50","yday","cult_loc","r","split","ncal"
"Almond","Ferragnes","Meknes",2012,"3/12/2012",72,"Ferragnes-Meknes",1,"Calibration","full"
"Almond","Ferragnes","Meknes",2007,"3/10/2007",69,"Ferragnes-Meknes",1,"Calibration","full"
"Almond","Ferragnes","Meknes",2003,"3/2/2003",61,"Ferragnes-Meknes",1,"Calibration","full"
"Almond","Ferragnes","Meknes",1989,"3/2/1989",61,"Ferragnes-Meknes",1,"Calibration","full"
"Almond","Ferragnes","Meknes",2014,"3/2/2014",61,"Ferragnes-Meknes",1,"Calibration","full"
"Almond","Ferragnes","Meknes",1990,"3/2/1990",61,"Ferragnes-Meknes",1,"Calibration","full"
"Almond","Ferragnes","Meknes",2010,"3/5/2010",64,"Ferragnes-Meknes",1,"Calibration","full"
"Almond","Ferragnes","Meknes",1982,"3/1/1982",60,"Ferragnes-Meknes",1,"Calibration","full"
"Almond","Ferragnes","Meknes",2005,"3/1/2005",60,"Ferragnes-Meknes",1,"Calibration","full"
"Almond","Ferragnes","Meknes",1983,"3/2/1983",61,"Ferragnes-Meknes",1,"Calibration","full"
"Almond","Ferragnes","Meknes",1996,"3/3/1996",63,"Ferragnes-Meknes",1,"Calibration","full"
"Almond","Marcona","Meknes",1978,"2/10/1978",41,"Marcona-Meknes",1,"Calibration","full"
"Almond","Marcona","Meknes",1992,"2/15/1992",46,"Marcona-Meknes",1,"Calibration","full"
"Almond","Marcona","Meknes",1998,"2/28/1998",59,"Marcona-Meknes",1,"Calibration","full"
"Almond","Marcona","Meknes",1988,"2/15/1988",46,"Marcona-Meknes",1,"Calibration","full"
"Almond","Marcona","Meknes",2008,"2/12/2008",43,"Marcona-Meknes",1,"Calibration","full"
"Almond","Marcona","Meknes",1985,"2/22/1985",53,"Marcona-Meknes",1,"Calibration","full"
"Almond","Marcona","Meknes",2011,"2/15/2011",46,"Marcona-Meknes",1,"Calibration","full"
"Almond","Marcona","Meknes",1986,"3/1/1986",60,"Marcona-Meknes",1,"Calibration","full"
"Almond","Marcona","Meknes",2002,"2/10/2002",41,"Marcona-Meknes",1,"Calibration","full"
"Almond","Marcona","Meknes",1997,"2/25/1997",56,"Marcona-Meknes",1,"Calibration","full"
"Almond","Marcona","Meknes",2004,"2/15/2004",46,"Marcona-Meknes",1,"Calibration","full"
"Almond","Marcona","Meknes",1979,"2/12/1979",43,"Marcona-Meknes",1,"Calibration","full"
"Almond","Marcona","Meknes",1984,"3/4/1984",64,"Marcona-Meknes",1,"Calibration","full"
"Almond","Marcona","Meknes",1999,"3/5/1999",64,"Marcona-Meknes",1,"Calibration","full"
"Almond","Marcona","Meknes",1991,"2/20/1991",51,"Marcona-Meknes",1,"Calibration","full"
"Almond","Marcona","Meknes",1993,"3/4/1993",63,"Marcona-Meknes",1,"Calibration","full"
"Almond","Marcona","Meknes",1994,"3/1/1994",60,"Marcona-Meknes",1,"Calibration","full"
"Almond","Marcona","Meknes",2012,"2/20/2012",51,"Marcona-Meknes",1,"Calibration","full"
"Almond","Marcona","Meknes",2007,"2/25/2007",56,"Marcona-Meknes",1,"Calibration","full"
"Almond","Marcona","Meknes",2003,"2/12/2003",43,"Marcona-Meknes",1,"Calibration","full"
"Almond","Marcona","Meknes",1989,"2/22/1989",53,"Marcona-Meknes",1,"Calibration","full"
"Almond","Marcona","Meknes",2014,"2/16/2014",47,"Marcona-Meknes",1,"Calibration","full"
"Almond","Marcona","Meknes",1990,"2/20/1990",51,"Marcona-Meknes",1,"Calibration","full"
