"species","cultivar","yday","year","split","ncal","location","loc.year"
"Almond","Marcona",64,1999,"Calibration","full","Meknes","Meknes.1999"
"Almond","Marcona",51,1991,"Calibration","full","Meknes","Meknes.1991"
"Almond","Marcona",63,1993,"Calibration","full","Meknes","Meknes.1993"
"Almond","Marcona",60,1994,"Calibration","full","Meknes","Meknes.1994"
"Almond","Marcona",51,2012,"Calibration","full","Meknes","Meknes.2012"
"Almond","Marcona",56,2007,"Calibration","full","Meknes","Meknes.2007"
"Almond","Marcona",43,2003,"Calibration","full","Meknes","Meknes.2003"
"Almond","Marcona",53,1989,"Calibration","full","Meknes","Meknes.1989"
"Almond","Marcona",47,2014,"Calibration","full","Meknes","Meknes.2014"
"Almond","Marcona",51,1990,"Calibration","full","Meknes","Meknes.1990"
"Almond","Marcona",48,2010,"Calibration","full","Meknes","Meknes.2010"
"Almond","Marcona",49,1982,"Calibration","full","Meknes","Meknes.1982"
"Almond","Marcona",44,2005,"Calibration","full","Meknes","Meknes.2005"
"Almond","Marcona",50,1983,"Calibration","full","Meknes","Meknes.1983"
"Almond","Marcona",62,1996,"Calibration","full","Meknes","Meknes.1996"
"Almond","Marta",40,2008,"Calibration","full","Santomera","Santomera.2008"
"Almond","Marta",56,2006,"Calibration","full","Santomera","Santomera.2006"
"Almond","Marta",50,2011,"Calibration","full","Santomera","Santomera.2011"
"Almond","Marta",51,2018,"Calibration","full","Santomera","Santomera.2018"
"Almond","Marta",58,2010,"Calibration","full","Santomera","Santomera.2010"
"Almond","Marta",56,2019,"Calibration","full","Santomera","Santomera.2019"
"Almond","Marta",41,2021,"Calibration","full","Santomera","Santomera.2021"
"Almond","Marta",48,2007,"Calibration","full","Santomera","Santomera.2007"
"Almond","Marta",57,2005,"Calibration","full","Santomera","Santomera.2005"
"Almond","Marta",62,2012,"Calibration","full","Santomera","Santomera.2012"
"Almond","Mazzetto",80,2013,"Calibration","full","Sfax","Sfax.2013"
"Almond","Mazzetto",67,1982,"Calibration","full","Sfax","Sfax.1982"
"Almond","Mazzetto",75,1993,"Calibration","full","Sfax","Sfax.1993"
"Almond","Mazzetto",78,2005,"Calibration","full","Sfax","Sfax.2005"
"Almond","Mazzetto",60,1999,"Calibration","full","Sfax","Sfax.1999"
"Almond","Mazzetto",66,2001,"Calibration","full","Sfax","Sfax.2001"
"Almond","Mazzetto",61,2002,"Calibration","full","Sfax","Sfax.2002"
"Almond","Mazzetto",57,1992,"Calibration","full","Sfax","Sfax.1992"
"Almond","Mazzetto",63,2015,"Calibration","full","Sfax","Sfax.2015"
"Almond","Mazzetto",65,2006,"Calibration","full","Sfax","Sfax.2006"
"Almond","Mazzetto",64,1991,"Calibration","full","Sfax","Sfax.1991"
"Almond","Mazzetto",63,1986,"Calibration","full","Sfax","Sfax.1986"
"Almond","Mazzetto",70,1998,"Calibration","full","Sfax","Sfax.1998"
